Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
-65,-0.050354004,Rat,activation,2,Oct_12_16,No,Good,5
-60,-0.043029785,Rat,activation,2,Oct_12_16,No,Good,5
-55,-0.040893555,Rat,activation,2,Oct_12_16,No,Good,5
-50,-0.040283203,Rat,activation,2,Oct_12_16,No,Good,5
-45,-0.028381348,Rat,activation,2,Oct_12_16,No,Good,5
-40,-0.040588379,Rat,activation,2,Oct_12_16,No,Good,5
-35,-0.03692627,Rat,activation,2,Oct_12_16,No,Good,5
-30,-0.039672852,Rat,activation,2,Oct_12_16,No,Good,5
-25,-0.055847168,Rat,activation,2,Oct_12_16,No,Good,5
-20,-0.101623535,Rat,activation,2,Oct_12_16,No,Good,5
-15,-0.27557373,Rat,activation,2,Oct_12_16,No,Good,5
-10,-0.986633301,Rat,activation,2,Oct_12_16,No,Good,5
-5,-1.701660156,Rat,activation,2,Oct_12_16,No,Good,5
0,-1.884765625,Rat,activation,2,Oct_12_16,No,Good,5
5,-1.870727539,Rat,activation,2,Oct_12_16,No,Good,5
10,-1.758728027,Rat,activation,2,Oct_12_16,No,Good,5
15,-1.604003906,Rat,activation,2,Oct_12_16,No,Good,5
20,-1.436767578,Rat,activation,2,Oct_12_16,No,Good,5
25,-1.258544922,Rat,activation,2,Oct_12_16,No,Good,5
30,-1.117553711,Rat,activation,2,Oct_12_16,No,Good,5
35,-0.952453613,Rat,activation,2,Oct_12_16,No,Good,5
40,-0.795593262,Rat,activation,2,Oct_12_16,No,Good,5
45,-0.706787109,Rat,activation,2,Oct_12_16,No,Good,5
50,-0.49041748,Rat,activation,2,Oct_12_16,No,Good,5
55,-0.292053223,Rat,activation,2,Oct_12_16,No,Good,5
60,-0.082702637,Rat,activation,2,Oct_12_16,No,Good,5
65,-0.010070801,Rat,activation,2,Oct_12_16,No,Good,5
70,-0.028991699,Rat,activation,2,Oct_12_16,No,Good,5
75,-0.026550293,Rat,activation,2,Oct_12_16,No,Good,5
80,-0.043029785,Rat,activation,2,Oct_12_16,No,Good,5
85,-0.043334961,Rat,activation,2,Oct_12_16,No,Good,5
90,-0.04119873,Rat,activation,2,Oct_12_16,No,Good,5
-80,-0.029602051,Rat,activation,2,Oct_12_16,Yes,Good,5
