Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
70,0.022583008,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
75,0.038757324,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
80,0.036621094,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
85,0.054931641,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
90,0.062561035,DiDiiiNC,activation,2,Aug_16_17,Yes,Good,28
-80,-0.039367676,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-75,-0.053100586,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-70,-0.027770996,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-65,-0.029907227,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-60,-0.030822754,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-55,-0.041809082,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-50,-0.071105957,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-45,-0.077819824,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-40,-0.094299316,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-35,-0.08392334,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-30,-0.135803223,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-25,-0.171508789,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-20,-0.235900879,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-15,-0.396118164,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-10,-1.044006348,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
-5,-1.702270508,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
0,-1.875610352,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
5,-1.80847168,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
10,-1.731567383,DiDiiiNC,activation,2,Aug_16_17,Late,Good,28
