Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set,,
25,-0.951538086,Gmouse,activation,1,Sept_15_17,No,Good,32,,
30,-0.890197754,Gmouse,activation,1,Sept_15_17,No,Good,32,,
35,-0.824890137,Gmouse,activation,1,Sept_15_17,No,Good,32,,
40,-0.749816895,Gmouse,activation,1,Sept_15_17,No,Good,32,,
45,-0.701293945,Gmouse,activation,1,Sept_15_17,No,Good,32,,
50,-0.61340332,Gmouse,activation,1,Sept_15_17,No,Good,32,,
55,-0.574645996,Gmouse,activation,1,Sept_15_17,No,Good,32,,
60,-0.486450195,Gmouse,activation,1,Sept_15_17,No,Good,32,,
65,-0.414123535,Gmouse,activation,1,Sept_15_17,No,Good,32,,
70,-0.366821289,Gmouse,activation,1,Sept_15_17,No,Good,32,,
75,-0.318908691,Gmouse,activation,1,Sept_15_17,No,Good,32,,
80,-0.263061523,Gmouse,activation,1,Sept_15_17,No,Good,32,,
85,-0.204162598,Gmouse,activation,1,Sept_15_17,No,Good,32,,
90,-0.161743164,Gmouse,activation,1,Sept_15_17,No,Good,32,,
-80,-0.021362305,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-75,-0.006408691,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-70,-0.028991699,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-65,-0.029296875,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-60,-0.006103516,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-55,-0.02166748,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-50,-0.014343262,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-45,-0.023193359,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-40,-0.001831055,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-35,-0.028686523,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-30,-0.030822754,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-25,-0.03326416,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-20,-0.144958496,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-15,-0.514221191,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-10,-0.798950195,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-5,-0.900268555,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
0,-0.889892578,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
5,-0.848083496,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
10,-0.809936523,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
15,-0.760498047,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
20,-0.692138672,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
25,-0.643310547,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
30,-0.581970215,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
35,-0.528869629,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
40,-0.493469238,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
45,-0.432739258,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
50,-0.387573242,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
55,-0.321350098,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
60,-0.296936035,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
65,-0.251464844,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
70,-0.201416016,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
75,-0.15838623,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
80,-0.121459961,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
85,-0.094909668,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
90,-0.057983398,Gmouse,activation,1,Sept_15_17,Yes,Good,32,,
-80,-0.014343262,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-75,-0.0390625,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-70,-0.015869141,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
-65,-0.0390625,Gmouse,activation,1,Sept_15_17,Late,Good,32,,
