Voltage,Current,Species,Recording,replicate,Date,Venom,Set
-50,-0.032958984,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-45,-0.083312988,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-40,-0.09552002,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-35,-0.113220215,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-30,-0.199890137,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-25,-0.232543945,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-20,-0.334472656,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-15,-0.571899414,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-10,-1.245422363,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-5,-1.958618164,DiDiiiNC,activation,1,Dec_29_17,Yes,40
0,-2.266845703,DiDiiiNC,activation,1,Dec_29_17,Yes,40
5,-2.305297852,DiDiiiNC,activation,1,Dec_29_17,Yes,40
10,-2.214355469,DiDiiiNC,activation,1,Dec_29_17,Yes,40
15,-2.084960938,DiDiiiNC,activation,1,Dec_29_17,Yes,40
20,-1.898498535,DiDiiiNC,activation,1,Dec_29_17,Yes,40
25,-1.739196777,DiDiiiNC,activation,1,Dec_29_17,Yes,40
30,-1.52923584,DiDiiiNC,activation,1,Dec_29_17,Yes,40
35,-1.389160156,DiDiiiNC,activation,1,Dec_29_17,Yes,40
40,-1.217346191,DiDiiiNC,activation,1,Dec_29_17,Yes,40
45,-1.05255127,DiDiiiNC,activation,1,Dec_29_17,Yes,40
50,-0.917358398,DiDiiiNC,activation,1,Dec_29_17,Yes,40
55,-0.754089355,DiDiiiNC,activation,1,Dec_29_17,Yes,40
60,-0.584106445,DiDiiiNC,activation,1,Dec_29_17,Yes,40
65,-0.436401367,DiDiiiNC,activation,1,Dec_29_17,Yes,40
70,-0.246582031,DiDiiiNC,activation,1,Dec_29_17,Yes,40
75,-0.161743164,DiDiiiNC,activation,1,Dec_29_17,Yes,40
80,-0.02166748,DiDiiiNC,activation,1,Dec_29_17,Yes,40
85,0.009460449,DiDiiiNC,activation,1,Dec_29_17,Yes,40
90,0.030517578,DiDiiiNC,activation,1,Dec_29_17,Yes,40
-80,-0.032653809,DiDiiiNC,activation,1,Dec_29_17,Late,40
-75,-0.032348633,DiDiiiNC,activation,1,Dec_29_17,Late,40
-70,-0.032958984,DiDiiiNC,activation,1,Dec_29_17,Late,40
-65,-0.030517578,DiDiiiNC,activation,1,Dec_29_17,Late,40
-60,-0.024414063,DiDiiiNC,activation,1,Dec_29_17,Late,40
-55,-0.029907227,DiDiiiNC,activation,1,Dec_29_17,Late,40
-50,-0.044555664,DiDiiiNC,activation,1,Dec_29_17,Late,40
-45,-0.082702637,DiDiiiNC,activation,1,Dec_29_17,Late,40
-40,-0.130004883,DiDiiiNC,activation,1,Dec_29_17,Late,40
-35,-0.177001953,DiDiiiNC,activation,1,Dec_29_17,Late,40
-30,-0.237121582,DiDiiiNC,activation,1,Dec_29_17,Late,40
-25,-0.321350098,DiDiiiNC,activation,1,Dec_29_17,Late,40
-20,-0.405273438,DiDiiiNC,activation,1,Dec_29_17,Late,40
-15,-0.697021484,DiDiiiNC,activation,1,Dec_29_17,Late,40
-10,-1.393737793,DiDiiiNC,activation,1,Dec_29_17,Late,40
-5,-2.009887695,DiDiiiNC,activation,1,Dec_29_17,Late,40
0,-2.239379883,DiDiiiNC,activation,1,Dec_29_17,Late,40
5,-2.241210938,DiDiiiNC,activation,1,Dec_29_17,Late,40
10,-2.145385742,DiDiiiNC,activation,1,Dec_29_17,Late,40
15,-2.025756836,DiDiiiNC,activation,1,Dec_29_17,Late,40
20,-1.844787598,DiDiiiNC,activation,1,Dec_29_17,Late,40
25,-1.672668457,DiDiiiNC,activation,1,Dec_29_17,Late,40
30,-1.510620117,DiDiiiNC,activation,1,Dec_29_17,Late,40
35,-1.346435547,DiDiiiNC,activation,1,Dec_29_17,Late,40
40,-1.134643555,DiDiiiNC,activation,1,Dec_29_17,Late,40
45,-0.896606445,DiDiiiNC,activation,1,Dec_29_17,Late,40
50,-0.705566406,DiDiiiNC,activation,1,Dec_29_17,Late,40
55,-0.479431152,DiDiiiNC,activation,1,Dec_29_17,Late,40
60,-0.333251953,DiDiiiNC,activation,1,Dec_29_17,Late,40
65,-0.135192871,DiDiiiNC,activation,1,Dec_29_17,Late,40
70,-0.053710938,DiDiiiNC,activation,1,Dec_29_17,Late,40
75,0.027770996,DiDiiiNC,activation,1,Dec_29_17,Late,40
80,0.053710938,DiDiiiNC,activation,1,Dec_29_17,Late,40
85,0.050354004,DiDiiiNC,activation,1,Dec_29_17,Late,40
90,0.047302246,DiDiiiNC,activation,1,Dec_29_17,Late,40
-80,-0.031738281,Gmouse,activation,1,Dec_29_17,No,40
-75,-0.068359375,Gmouse,activation,1,Dec_29_17,No,40
-70,-0.002441406,Gmouse,activation,1,Dec_29_17,No,40
-65,-0.018920898,Gmouse,activation,1,Dec_29_17,No,40
-60,-0.048217773,Gmouse,activation,1,Dec_29_17,No,40
-55,-0.025634766,Gmouse,activation,1,Dec_29_17,No,40
-50,-0.026550293,Gmouse,activation,1,Dec_29_17,No,40
-45,-0.047912598,Gmouse,activation,1,Dec_29_17,No,40
-40,-0.014343262,Gmouse,activation,1,Dec_29_17,No,40
-35,-0.037231445,Gmouse,activation,1,Dec_29_17,No,40
-30,-0.015258789,Gmouse,activation,1,Dec_29_17,No,40
-25,-0.032348633,Gmouse,activation,1,Dec_29_17,No,40
-20,-0.072937012,Gmouse,activation,1,Dec_29_17,No,40
-15,-0.254516602,Gmouse,activation,1,Dec_29_17,No,40
-10,-0.852966309,Gmouse,activation,1,Dec_29_17,No,40
-5,-1.909179688,Gmouse,activation,1,Dec_29_17,No,40
0,-2.540283203,Gmouse,activation,1,Dec_29_17,No,40
5,-2.793884277,Gmouse,activation,1,Dec_29_17,No,40
10,-2.796020508,Gmouse,activation,1,Dec_29_17,No,40
15,-2.761535645,Gmouse,activation,1,Dec_29_17,No,40
20,-2.614440918,Gmouse,activation,1,Dec_29_17,No,40
25,-2.492675781,Gmouse,activation,1,Dec_29_17,No,40
30,-2.326965332,Gmouse,activation,1,Dec_29_17,No,40
35,-2.167663574,Gmouse,activation,1,Dec_29_17,No,40
40,-1.99798584,Gmouse,activation,1,Dec_29_17,No,40
45,-1.8359375,Gmouse,activation,1,Dec_29_17,No,40
50,-1.610717773,Gmouse,activation,1,Dec_29_17,No,40
55,-1.397705078,Gmouse,activation,1,Dec_29_17,No,40
60,-1.160583496,Gmouse,activation,1,Dec_29_17,No,40
65,-0.927124023,Gmouse,activation,1,Dec_29_17,No,40
70,-0.744934082,Gmouse,activation,1,Dec_29_17,No,40
75,-0.569763184,Gmouse,activation,1,Dec_29_17,No,40
80,-0.425415039,Gmouse,activation,1,Dec_29_17,No,40
